d_oldage,d_health,d_rvf,d_cbpp,hsize_mean,hsize_min,hsize_max,rvf,cbpp
1819,18,466,106,3.06,0,23,0.74,0.82
1770,11,464,123,2.76,0,24,0.6799999999999999,0.78
1786,13,472,134,2.72,0,24,0.9199999999999999,0.76
1747,13,506,151,2.35,0,21,0.36,0.5399999999999999
1780,19,467,171,2.61,0,21,0.7,0.52
1811,18,530,127,3.46,0,22,-0.06000000000000001,0.82
1786,17,521,149,3.95,0,29,0.26,0.76
1825,21,492,119,3.08,0,25,0.7,0.76
1807,15,481,117,3.09,0,28,0.7,0.8
1787,18,516,152,3.08,0,24,0.04,0.5800000000000001
1807,17,481,116,3.5,0,30,0.8,0.6799999999999999
1825,15,489,124,3.72,0,25,0.44000000000000006,0.8400000000000001
1749,10,486,191,3.04,0,19,0.7,0.4
1787,16,509,104,2.92,0,20,0.58,0.76
1817,17,524,125,3.53,0,29,0.58,0.8400000000000001
1806,9,493,122,2.71,0,18,0.72,0.6599999999999999
1795,22,505,108,3.57,0,28,0.64,0.62
1730,10,485,146,2.23,0,24,0.68,0.62
1700,9,496,131,2.23,0,29,0.4200000000000001,0.82
1737,6,498,116,2.63,0,19,0.36,0.76
1785,11,518,139,2.84,0,26,0.6199999999999999,0.58
1775,23,539,147,2.93,0,22,0.52,0.5
1777,18,529,143,2.72,0,45,0.24000000000000005,0.6199999999999999
1804,24,486,114,3.99,0,37,0.5399999999999999,0.6599999999999999
1768,11,470,152,2.19,0,24,0.6599999999999999,0.48
1793,8,441,112,2.72,0,26,0.7,0.7
1750,21,504,217,3.16,0,31,0.24,0.18
1766,14,488,161,3.18,0,28,0.38,0.62
1787,17,482,148,3.12,0,17,0.5799999999999998,0.52
1852,15,471,93,3.32,0,26,0.8400000000000001,0.8200000000000001
1831,18,475,131,3.96,0,23,0.72,0.74
1763,14,477,151,2.91,0,27,0.7,0.5599999999999999
1766,19,497,171,2.51,0,22,0.96,0.48
1790,17,481,136,2.82,0,21,0.6399999999999999,0.54
1814,15,493,130,3.26,0,19,0.48,0.7
1770,12,511,112,1.91,0,14,0.12,0.8
1801,17,498,125,2.87,0,17,0.42000000000000004,0.78
1805,15,481,114,2.65,0,31,0.72,0.7999999999999999
1699,18,501,217,2.61,0,22,0.32,0.12
1741,17,504,149,2.53,0,21,0.1,0.4
1807,23,482,123,3.02,0,19,0.7799999999999999,0.8400000000000001
1788,15,503,140,4.18,0,28,0.56,0.6799999999999999
1764,22,519,126,3.4,0,34,0.6,0.6
1804,12,472,140,3.04,0,20,0.76,0.6599999999999999
1837,19,505,123,5.1,0,29,0.6799999999999999,0.82
1801,16,465,118,3.23,0,28,0.74,0.68
1819,17,501,109,3.01,0,25,-0.16,0.8
1724,14,487,116,2.28,0,19,0.38,0.74
1768,19,495,143,2.34,0,25,0.4,0.52
